Date,Patch,Blue_Team,Red_Team,Winner,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Series_ID
2025-10-31,25.20,Anyone's Legend,T1,Anyone's Legend,"['Bard', 'Azir', 'Neeko', 'Corki', 'Jhin']","['Yunara', 'Orianna', 'Alistar', 'Ornn', 'Aurora']","['Ambessa', 'Wukong', 'Galio', 'Sivir', 'Poppy']","['Rumble', 'Xin Zhao', 'Anivia', 'Draven', 'Nautilus']","Flandre,Tarzan,Shanks,Hope,Kael","Doran,Oner,Faker,Gumayusi,Keria",4
2025-10-31,25.20,Anyone's Legend,T1,T1,"['Bard', 'Azir', 'Neeko', 'Poppy', 'Alistar']","['Trundle', 'Yunara', 'Orianna', 'Ziggs', 'Sivir']","[""Rek'Sai"", 'Qiyana', 'Ryze', 'Ezreal', 'Braum']","['Sion', 'Pantheon', 'Taliyah', 'Varus', 'Rakan']","Flandre,Tarzan,Shanks,Hope,Kael","Doran,Oner,Faker,Gumayusi,Keria",4
2025-10-30,25.20,G2 Esports,Top Esports,Top Esports,"['Jarvan IV', 'Aurora', 'Mordekaiser', 'Annie', 'Yorick']","['Yunara', 'Azir', 'Sion', 'Cassiopeia', 'Taliyah']","['Ornn', 'Poppy', 'Syndra', 'Draven', 'Neeko']","['Gnar', 'Naafiri', 'Viktor', 'Xayah', 'Rakan']","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov","369,Kanavi,Creme,JackeyLove,Hang",5
2025-10-30,25.20,Top Esports,G2 Esports,Top Esports,"['Taliyah', 'LeBlanc', ""Rek'Sai"", 'Jax', 'Kled']","['Azir', 'Yunara', 'Aurora', 'Sion', 'Ornn']","['Aatrox', 'Trundle', 'Hwei', 'Ezreal', 'Karma']","['Renekton', 'Ivern', 'Sylas', 'Caitlyn', 'Thresh']","369,Kanavi,Creme,JackeyLove,Hang","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",5
2025-10-30,25.20,Top Esports,G2 Esports,G2 Esports,"['Poppy', 'Taliyah', 'Xayah', 'Caitlyn', 'Draven']","['Yunara', 'Sion', 'Azir', ""Kai'Sa"", 'Ezreal']","['Rumble', 'Qiyana', 'Yone', 'Sivir', 'Alistar']","['Galio', 'Dr. Mundo', 'Ryze', 'Lucian', 'Bard']","369,Kanavi,Creme,JackeyLove,Hang","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",5
2025-10-30,25.20,Top Esports,G2 Esports,Top Esports,"['Poppy', 'Trundle', 'Taliyah', 'Alistar', 'Bard']","['Sion', 'Yunara', 'Rumble', 'Neeko', 'Rakan']","['Ambessa', 'Wukong', 'Akali', 'Varus', 'Braum']","[""K'Sante"", 'Xin Zhao', 'Orianna', 'Corki', 'Rell']","369,Kanavi,Creme,JackeyLove,Hang","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",5
2025-10-29,25.20,KT Rolster,CTBC Flying Oyster,KT Rolster,"['Qiyana', 'Neeko', 'Yunara', 'Sylas', 'Pantheon']","['Vi', 'Ryze', 'Ambessa', 'Nocturne', 'Yone']","['Sion', 'Viego', 'Zoe', 'Ziggs', 'Alistar']","[""Rek'Sai"", 'Skarner', 'Hwei', 'Caitlyn', 'Bard']","PerfecT,Cuzz,Bdd,deokdam,Peter","Rest,JunJia,HongQ,Doggo,Kaiwing",6
2025-10-29,25.20,CTBC Flying Oyster,KT Rolster,KT Rolster,"['Poppy', 'Yunara', 'Ambessa', 'Neeko', 'Varus']","['Qiyana', 'Alistar', 'Sion', 'Bard', 'Draven']","[""K'Sante"", 'Trundle', 'Azir', ""Kai'Sa"", 'Rakan']","['Renekton', 'Jarvan IV', 'Orianna', 'Sivir', 'Nautilus']","Rest,JunJia,HongQ,Doggo,Kaiwing","PerfecT,Cuzz,Bdd,deokdam,Peter",6
2025-10-29,25.20,KT Rolster,CTBC Flying Oyster,KT Rolster,"['Qiyana', 'Sion', 'Yunara', 'Neeko', 'Alistar']","['Ryze', 'Orianna', 'Azir', 'Nautilus', 'Rakan']","['Rumble', 'Wukong', 'Taliyah', 'Ezreal', 'Braum']","['Ornn', 'Xin Zhao', 'Aurora', 'Corki', 'Nami']","PerfecT,Cuzz,Bdd,deokdam,Peter","Driver,JunJia,HongQ,Doggo,Kaiwing",6
2025-10-28,25.20,Gen.G,Hanwha Life Esports,Gen.G,"['Caitlyn', 'Maokai', 'Vi', 'Rell', 'Renekton']","['Qiyana', 'Galio', 'Braum', 'Ahri', 'Lee Sin']","[""K'Sante"", 'Nidalee', 'Hwei', 'Yunara', 'Alistar']","['Camille', 'Nocturne', 'Aurora', 'Smolder', 'Leona']","Kiin,Canyon,Chovy,Ruler,Duro","Zeus,Peanut,Zeka,Viper,Delight",7
2025-10-28,25.20,Hanwha Life Esports,Gen.G,Hanwha Life Esports,"['Qiyana', 'Galio', 'Blitzcrank', 'Braum', 'Lulu']","['Yunara', 'Vi', 'Aurora', 'Xayah', 'Smolder']","['Rumble', 'Trundle', 'Yone', 'Sivir', 'Rakan']","['Sion', 'Skarner', 'Viktor', ""Kai'Sa"", 'Bard']","Zeus,Peanut,Zeka,Viper,Delight","Kiin,Canyon,Chovy,Ruler,Duro",7
2025-10-28,25.20,Hanwha Life Esports,Gen.G,Gen.G,"['Galio', 'Sion', 'Vi', 'Sivir', 'Renekton']","['Yunara', 'Aurora', 'Rumble', 'Jax', 'Jhin']","['Ambessa', 'Xin Zhao', 'Azir', 'Ziggs', 'Poppy']","['Gwen', 'Jarvan IV', 'Orianna', 'Varus', 'Nautilus']","Zeus,Peanut,Zeka,Viper,Delight","Kiin,Canyon,Chovy,Ruler,Duro",7
2025-10-28,25.20,Gen.G,Hanwha Life Esports,Gen.G,"['Ambessa', 'Yunara', 'Poppy', 'Sivir', 'Alistar']","['Orianna', 'Azir', 'Galio', ""K'Sante"", ""Kai'Sa""]","['Aatrox', 'Wukong', 'Ryze', 'Ezreal', 'Neeko']","[""Rek'Sai"", 'Sejuani', 'Taliyah', 'Corki', 'Pantheon']","Kiin,Canyon,Chovy,Ruler,Duro","Zeus,Peanut,Zeka,Viper,Delight",7
2025-10-25,25.20,T1,Movistar KOI,T1,"['Sion', 'Poppy', 'Yunara', 'Ziggs', 'Rell']","['Bard', 'Neeko', 'Taliyah', 'Karma', 'Caitlyn']","[""Rek'Sai"", 'Wukong', 'Ryze', 'Sivir', 'Leona']","['Ambessa', 'Trundle', 'Cassiopeia', 'Vayne', 'Braum']","Doran,Oner,Faker,Gumayusi,Keria","Myrwn,Elyoya,Jojopyun,Supa,Alvaro",8
2025-10-25,25.20,Movistar KOI,T1,T1,"['Bard', 'Poppy', 'Ambessa', 'Neeko', 'Braum']","['Sion', 'Yunara', 'Trundle', ""Rek'Sai"", 'Rumble']","['Mordekaiser', 'Xin Zhao', 'Orianna', 'Corki', 'Rakan']","[""K'Sante"", 'Qiyana', 'Azir', 'Varus', 'Alistar']","Myrwn,Elyoya,Jojopyun,Supa,Alvaro","Doran,Oner,Faker,Gumayusi,Keria",8
2025-10-25,25.20,Top Esports,Bilibili Gaming,Top Esports,"['Caitlyn', 'Ambessa', 'LeBlanc', 'Cassiopeia', 'Gwen']","['Sion', 'Ryze', 'Karma', 'Taliyah', 'Sylas']","['Mordekaiser', 'Qiyana', 'Smolder', 'Corki', 'Leona']","['Jax', 'Wukong', 'Galio', 'Xayah', 'Rakan']","369,Kanavi,Creme,JackeyLove,Hang","Bin,Beichuan,Knight,Elk,ON",9
2025-10-25,25.20,Bilibili Gaming,Top Esports,Top Esports,"['Qiyana', 'Sion', 'Ryze', 'Renata Glasc', 'Xayah']","['Wukong', 'Caitlyn', 'Taliyah', 'Ezreal', 'Corki']","['Renekton', 'Vi', 'Aurora', 'Sivir', 'Alistar']","[""K'Sante"", 'Trundle', 'Azir', 'Varus', 'Poppy']","Bin,Shad0w,Knight,Elk,ON","369,Kanavi,Creme,JackeyLove,Hang",9
2025-10-25,25.20,Top Esports,Bilibili Gaming,Bilibili Gaming,"['Ambessa', 'Wukong', 'Poppy', ""K'Sante"", 'Galio']","['Qiyana', 'Sion', 'Karma', 'Corki', 'Varus']","['Rumble', 'Jarvan IV', 'Orianna', 'Lucian', 'Braum']","['Ornn', 'Xin Zhao', 'Ziggs', 'Yunara', 'Neeko']","369,Kanavi,Creme,JackeyLove,Hang","Bin,Shad0w,Knight,Elk,ON",9
2025-10-25,25.20,FlyQuest,CTBC Flying Oyster,CTBC Flying Oyster,"['Ambessa', 'Caitlyn', 'Yunara', ""Kai'Sa"", 'Braum']","['Orianna', 'Cassiopeia', 'Wukong', 'Rakan', 'Ezreal']","['Sion', 'Qiyana', 'Annie', 'Lucian', 'Nami']","[""Rek'Sai"", 'Trundle', 'Ryze', 'Draven', 'Neeko']","Bwipo,Inspired,Quad,Massu,Busio","Rest,JunJia,HongQ,Doggo,Kaiwing",10
2025-10-25,25.20,CTBC Flying Oyster,FlyQuest,CTBC Flying Oyster,"['Yunara', 'Mordekaiser', 'Wukong', 'Ambessa', 'Galio']","['Orianna', 'Sion', 'Qiyana', 'Poppy', 'Caitlyn']","['Rumble', 'Xin Zhao', 'Azir', 'Corki', 'Leona']","[""K'Sante"", 'Vi', 'Taliyah', 'Jhin', 'Alistar']","Driver,JunJia,HongQ,Doggo,Kaiwing","Bwipo,Inspired,Quad,Massu,Busio",10
2025-10-24,25.20,100 Thieves,T1,T1,"['Bard', 'Qiyana', 'Caitlyn', 'Poppy', 'Lulu']","['Sion', 'Yunara', ""K'Sante"", 'Rakan', 'Ezreal']","['Rumble', 'Pantheon', 'Akali', ""Kai'Sa"", 'Rell']","['Galio', 'Jarvan IV', 'Orianna', 'Xayah', 'Neeko']","Dhokla,River,Quid,FBI,Eyla","Doran,Oner,Faker,Gumayusi,Keria",11
2025-10-24,25.20,100 Thieves,T1,T1,"['Bard', 'Azir', 'Poppy', 'Karma', 'Neeko']","['Sion', 'Orianna', 'Yunara', 'Ziggs', 'Rakan']","['Ambessa', 'Wukong', 'Sylas', 'Varus', 'Alistar']","['Renekton', 'Xin Zhao', 'Taliyah', 'Corki', 'Leona']","Dhokla,River,Quid,FBI,Eyla","Doran,Oner,Faker,Gumayusi,Keria",11
2025-10-24,25.20,Vivo Keyd Stars,Bilibili Gaming,Bilibili Gaming,"['Caitlyn', 'Orianna', 'Ryze', 'Ahri', 'Annie']","['Sion', 'Yunara', 'Aurora', 'Nautilus', 'Braum']","[""K'Sante"", 'Wukong', 'Taliyah', 'Sivir', 'Bard']","['Rumble', 'Xin Zhao', 'LeBlanc', 'Corki', 'Poppy']","Boal,Disamis,Mireu,Morttheus,Trymbi","Bin,Shad0w,Knight,Elk,ON",12
2025-10-24,25.20,Bilibili Gaming,Vivo Keyd Stars,Bilibili Gaming,"['Sion', 'Wukong', 'Aurora', 'Renekton', 'Poppy']","['Yunara', 'Orianna', 'Ezreal', 'Caitlyn', 'Yorick']","['Jax', 'Trundle', 'Ziggs', ""Kai'Sa"", 'Neeko']","['Ambessa', 'Qiyana', 'Azir', 'Varus', 'Karma']","Bin,Shad0w,Knight,Elk,ON","Boal,Disamis,Mireu,Morttheus,Trymbi",12
2025-10-23,25.20,Top Esports,Gen.G,Gen.G,"['Ambessa', 'Wukong', 'Cassiopeia', 'Nautilus', 'Alistar']","['Qiyana', 'Orianna', 'Ryze', 'Lulu', 'Poppy']","['Rumble', 'Pantheon', 'Azir', 'Yunara', 'Leona']","['Ornn', 'Jarvan IV', 'Yone', ""Kai'Sa"", 'Rakan']","369,Kanavi,Creme,JackeyLove,Hang","Kiin,Canyon,Chovy,Ruler,Duro",13
2025-10-23,25.20,Gen.G,Top Esports,Gen.G,"['Qiyana', 'Yunara', 'Azir', 'Sivir', 'Renata Glasc']","['Ambessa', 'Wukong', 'Orianna', ""Kai'Sa"", 'Xayah']","[""Rek'Sai"", 'Vi', 'Taliyah', 'Lucian', 'Braum']","['Sion', 'Xin Zhao', 'Aurora', 'Corki', 'Neeko']","Kiin,Canyon,Chovy,Ruler,Duro","369,Kanavi,Creme,JackeyLove,Hang",13
2025-10-23,25.20,Team Secret Whales,Movistar KOI,Movistar KOI,"['Taliyah', 'Azir', 'Poppy', 'Viktor', 'Vex']","['Wukong', 'Rumble', 'Annie', 'Yorick', 'Bard']","['Jayce', 'Vi', 'Aurora', ""Kai'Sa"", 'Leona']","[""K'Sante"", 'Naafiri', 'Ahri', 'Xayah', 'Rell']","Hiro02,Hizto,Dire,Eddie,Taki","Myrwn,Elyoya,Jojopyun,Supa,Alvaro",14
2025-10-23,25.20,Team Secret Whales,Movistar KOI,Movistar KOI,"['Taliyah', 'Rumble', 'Azir', 'Xayah', ""K'Sante""]","['Wukong', 'Annie', 'Aurora', ""Kai'Sa"", 'Sivir']","['Renekton', 'Xin Zhao', 'Ryze', 'Caitlyn', 'Neeko']","['Ornn', 'Qiyana', 'Cassiopeia', 'Ezreal', 'Rakan']","Pun,Hizto,Dire,Eddie,Taki","Myrwn,Elyoya,Jojopyun,Supa,Alvaro",14
2025-10-23,25.20,Movistar KOI,Team Secret Whales,Team Secret Whales,"['Aurora', 'Vi', 'Qiyana', 'Annie', 'Wukong']","['Ryze', 'Taliyah', 'Azir', 'Neeko', 'Poppy']","['Ambessa', 'Trundle', 'Orianna', 'Corki', 'Braum']","['Sion', 'Jarvan IV', 'Galio', 'Yunara', 'Alistar']","Myrwn,Elyoya,Jojopyun,Supa,Alvaro","Pun,Hizto,Dire,Eddie,Taki",14
2025-10-22,25.20,FlyQuest,G2 Esports,G2 Esports,"['Draven', 'Vi', 'Jarvan IV', 'Poppy', 'Braum']","['Sion', 'Yunara', 'Neeko', 'Sivir', 'Karma']","['Renekton', 'Sejuani', 'Azir', 'Jhin', 'Nautilus']","['Jax', 'Dr. Mundo', 'Orianna', 'Varus', 'Rell']","Bwipo,Inspired,Quad,Massu,Busio","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",15
2025-10-22,25.20,FlyQuest,G2 Esports,G2 Esports,"['Azir', 'Yunara', 'Volibear', 'Nautilus', 'Draven']","['Sion', 'Orianna', 'Neeko', 'Karma', 'Braum']","['Rumble', 'Xin Zhao', 'Annie', 'Lucian', 'Soraka']","['Galio', 'Trundle', 'Aurora', 'Xayah', 'Rakan']","Bwipo,Inspired,Quad,Massu,Busio","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",15
2025-10-22,25.20,FlyQuest,G2 Esports,FlyQuest,"['Azir', 'Xin Zhao', 'LeBlanc', 'Poppy', 'Renekton']","['Orianna', 'Sion', 'Yunara', 'Varus', 'Rumble']","[""K'Sante"", 'Wukong', 'Taliyah', 'Corki', 'Alistar']","[""Rek'Sai"", 'Maokai', 'Viktor', 'Caitlyn', 'Bard']","Bwipo,Inspired,Quad,Massu,Busio","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",15
2025-10-22,25.20,CTBC Flying Oyster,Hanwha Life Esports,Hanwha Life Esports,"['Poppy', 'Ambessa', 'Aurora', 'Corki', ""Kai'Sa""]","['Qiyana', 'Sion', 'Wukong', 'Neeko', 'Draven']","['Renekton', 'Trundle', 'Ryze', 'Ziggs', 'Leona']","[""Rek'Sai"", 'Vi', 'Taliyah', 'Caitlyn', 'Alistar']","Rest,JunJia,HongQ,Doggo,Kaiwing","Zeus,Peanut,Zeka,Viper,Delight",16
2025-10-22,25.20,CTBC Flying Oyster,Hanwha Life Esports,Hanwha Life Esports,"['Poppy', 'Ambessa', 'Wukong', 'Alistar', 'Braum']","['Qiyana', 'Sion', 'Corki', 'Caitlyn', 'Neeko']","[""K'Sante"", 'Xin Zhao', 'Orianna', 'Ezreal', 'Nami']","['Rumble', 'Jarvan IV', 'Azir', 'Yunara', 'Rakan']","Driver,JunJia,HongQ,Doggo,Kaiwing","Zeus,Peanut,Zeka,Viper,Delight",16
2025-10-19,25.20,Vivo Keyd Stars,PSG Talon,Vivo Keyd Stars,"['Caitlyn', 'Vi', 'Lee Sin', ""Kai'Sa"", 'Lucian']","['Neeko', 'Azir', 'LeBlanc', ""Rek'Sai"", 'Aatrox']","['Poppy', 'Nocturne', 'Akali', 'Yunara', 'Bard']","[""K'Sante"", 'Naafiri', 'Orianna', 'Xayah', 'Braum']","Boal,Disamis,Mireu,Morttheus,Trymbi","Azhi,Karsa,Maple,Betty,Woody",17
2025-10-19,25.20,PSG Talon,Vivo Keyd Stars,PSG Talon,"['Neeko', 'Akali', 'LeBlanc', 'Bard', 'Poppy']","['Azir', 'Orianna', 'Yunara', 'Qiyana', 'Braum']","['Rumble', 'Jarvan IV', 'Aurora', 'Varus', 'Leona']","['Ornn', 'Pantheon', 'Annie', 'Ezreal', 'Rell']","Azhi,Karsa,Maple,Betty,Woody","Boal,Disamis,Mireu,Morttheus,Trymbi",17
2025-10-19,25.20,PSG Talon,Vivo Keyd Stars,Vivo Keyd Stars,"['Neeko', 'Aurora', 'Akali', 'Poppy', 'Braum']","['Yunara', 'Azir', 'Orianna', 'Caitlyn', 'Lucian']","['Ambessa', 'Wukong', 'Ryze', 'Corki', 'Rakan']","['Sion', 'Xin Zhao', 'Taliyah', 'Sivir', 'Alistar']","Azhi,Karsa,Maple,Betty,Woody","Boal,Disamis,Mireu,Morttheus,Trymbi",17
2025-10-19,25.20,Movistar KOI,Fnatic,Movistar KOI,"['Neeko', 'Aurora', 'LeBlanc', 'Yorick', 'Karma']","['Orianna', 'Yunara', 'Vi', 'Tristana', 'Caitlyn']","['Ornn', 'Xin Zhao', 'Taliyah', 'Vayne', 'Braum']","['Jax', 'Trundle', 'Azir', 'Ezreal', 'Rell']","Myrwn,Elyoya,Jojopyun,Supa,Alvaro","Oscarinin,Razork,Poby,Upset,Mikyx",18
2025-10-19,25.20,Fnatic,Movistar KOI,Fnatic,"['Neeko', 'Taliyah', 'Yunara', 'Braum', 'Karma']","['Orianna', 'Aurora', 'Azir', 'Nautilus', 'Rell']","['Rumble', 'Jarvan IV', 'Viktor', ""Kai'Sa"", 'Poppy']","[""K'Sante"", 'Wukong', 'Kassadin', 'Sivir', 'Bard']","Oscarinin,Razork,Poby,Upset,Mikyx","Myrwn,Elyoya,Jojopyun,Supa,Alvaro",18
2025-10-19,25.20,Movistar KOI,Fnatic,Movistar KOI,"['Wukong', 'Poppy', 'Azir', 'Ezreal', 'Nautilus']","['Orianna', 'Yunara', 'Taliyah', 'Neeko', 'Tristana']","['Sion', 'Qiyana', 'Ryze', 'Zeri', 'Rakan']","['Ambessa', 'Pantheon', 'Cassiopeia', 'Xayah', 'Alistar']","Myrwn,Elyoya,Jojopyun,Supa,Alvaro","Oscarinin,Razork,Poby,Upset,Mikyx",18
2025-10-18,25.20,Hanwha Life Esports,100 Thieves,Hanwha Life Esports,"['Aurora', 'Vi', 'Wukong', 'Neeko', 'Ziggs']","['Orianna', 'Ambessa', 'Yunara', 'Poppy', ""Kai'Sa""]","['Sion', 'Xin Zhao', 'Azir', 'Lucian', 'Braum']","[""K'Sante"", 'Pantheon', 'Taliyah', 'Senna', 'Alistar']","Zeus,Peanut,Zeka,Viper,Delight","Dhokla,River,Quid,FBI,Eyla",19
2025-10-18,25.20,Bilibili Gaming,G2 Esports,G2 Esports,"['Azir', 'Wukong', 'Sion', 'Cassiopeia', 'Taliyah']","['Orianna', 'Neeko', 'Yunara', 'Sivir', 'Karma']","[""K'Sante"", 'Qiyana', 'Ryze', 'Ezreal', 'Leona']","['Poppy', 'Xin Zhao', 'Anivia', 'Varus', 'Braum']","Bin,Shad0w,Knight,Elk,ON","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",20
2025-10-18,25.20,Gen.G,T1,Gen.G,"['Bard', 'Neeko', 'Qiyana', 'Caitlyn', 'Sivir']","['Azir', 'Yunara', 'Galio', 'Xayah', 'Lucian']","['Sion', 'Xin Zhao', 'Orianna', 'Corki', 'Poppy']","['Ambessa', 'Wukong', 'Aurora', ""Kai'Sa"", 'Alistar']","Kiin,Canyon,Chovy,Ruler,Duro","Doran,Oner,Faker,Gumayusi,Keria",21
2025-10-18,25.20,FlyQuest,Team Secret Whales,FlyQuest,"['Ambessa', 'Vi', 'Yunara', 'Rumble', 'Poppy']","['Ryze', 'Orianna', 'Taliyah', 'Xayah', 'Viktor']","['Sion', 'Wukong', 'Azir', 'Corki', 'Alistar']","['Mordekaiser', 'Qiyana', 'Aurora', ""Kai'Sa"", 'Rakan']","Bwipo,Inspired,Quad,Massu,Busio","Hiro02,Hizto,Dire,Eddie,Taki",22
